prb_id,timestamp,resultset.result.rt,asn
416,2019-10-05 22:39:29,104.128,59617.0
4287,2019-10-05 22:39:53,77.027,6830.0
50677,2019-10-05 22:39:28,234.355,3292.0
51278,2019-10-05 22:39:54,64.207,8881.0
51278,2019-10-05 22:39:54,60.691,8881.0
51278,2019-10-05 22:39:54,19.51,8881.0
51682,2019-10-05 22:39:34,21.099,6830.0
51682,2019-10-05 22:39:34,1.652,6830.0
51959,2019-10-05 22:39:42,823.53,7545.0
51959,2019-10-05 22:39:42,1149.542,7545.0
52137,2019-10-05 22:39:23,51.99,2856.0
52137,2019-10-05 22:39:23,24.065,2856.0
6407,2019-10-05 22:39:46,654.266,55002.0
6407,2019-10-05 22:39:46,156.924,55002.0
813,2019-10-05 22:39:48,575.713,29355.0
813,2019-10-05 22:39:48,140.794,29355.0
813,2019-10-05 22:39:48,13.233,29355.0
10218,2019-10-05 22:40:14,73.66,6876.0
10712,2019-10-05 22:40:40,772.616,17823.0
10712,2019-10-05 22:40:40,1214.133,17823.0
11037,2019-10-05 22:40:40,70.923,47313.0
11200,2019-10-05 22:40:57,63.497,6848.0
11200,2019-10-05 22:40:57,83.83,6848.0
11815,2019-10-05 22:40:34,22.291,3209.0
12879,2019-10-05 22:40:36,337.178,7922.0
14319,2019-10-05 22:40:39,232.542,12578.0
16450,2019-10-05 22:40:44,614.035,37199.0
16450,2019-10-05 22:40:44,211.233,37199.0
16450,2019-10-05 22:40:44,1852.858,37199.0
17082,2019-10-05 22:40:20,33.538,3215.0
17082,2019-10-05 22:40:20,0.625,3215.0
17186,2019-10-05 22:40:05,625.295,24550.0
17186,2019-10-05 22:40:05,667.751,24550.0
17186,2019-10-05 22:40:05,388.642,24550.0
17825,2019-10-05 22:40:53,189.357,12767.0
17825,2019-10-05 22:40:53,0.573,12767.0
18402,2019-10-05 22:40:21,46.904,20712.0
18402,2019-10-05 22:40:21,0.465,20712.0
18766,2019-10-05 22:40:13,85.984,28725.0
18766,2019-10-05 22:40:13,1.506,28725.0
19161,2019-10-05 22:40:53,27.546,44369.0
2087,2019-10-05 22:40:30,49.013,50583.0
2087,2019-10-05 22:40:30,50.49,50583.0
25399,2019-10-05 22:40:43,311.771,7545.0
25399,2019-10-05 22:40:43,0.867,7545.0
25698,2019-10-05 22:40:57,92.696,15600.0
25698,2019-10-05 22:40:57,24.111,15600.0
26793,2019-10-05 22:40:51,141.659,8473.0
26793,2019-10-05 22:40:51,167.475,8473.0
26902,2019-10-05 22:40:09,104.93,719.0
29239,2019-10-05 22:40:42,44.774,5410.0
29239,2019-10-05 22:40:42,3.366,5410.0
29239,2019-10-05 22:40:42,43.308,5410.0
29795,2019-10-05 22:40:48,719.531,3320.0
29795,2019-10-05 22:40:48,0.767,3320.0
2992,2019-10-05 22:40:09,91.818,35320.0
32973,2019-10-05 22:40:49,108.224,3226.0
33193,2019-10-05 22:40:48,120.936,701.0
33492,2019-10-05 22:40:36,546.237,17.0
33492,2019-10-05 22:40:36,528.965,17.0
3895,2019-10-05 22:40:16,123.668,nan
3895,2019-10-05 22:40:16,173.719,nan
3895,2019-10-05 22:40:16,233.691,nan
4165,2019-10-05 22:40:10,69.936,12757.0
4165,2019-10-05 22:40:10,182.234,12757.0
50264,2019-10-05 22:40:14,63.688,30764.0
50264,2019-10-05 22:40:14,7.656,30764.0
50264,2019-10-05 22:40:14,25.183,30764.0
51663,2019-10-05 22:40:49,247.252,55391.0
51952,2019-10-05 22:40:45,268.475,39308.0
6374,2019-10-05 22:40:43,48.938,43350.0
6374,2019-10-05 22:40:43,28.09,43350.0
6374,2019-10-05 22:40:43,27.257,43350.0
6575,2019-10-05 22:40:16,878.817,45170.0
6575,2019-10-05 22:40:16,195.369,45170.0
6575,2019-10-05 22:40:16,1262.539,45170.0
824,2019-10-05 22:40:28,28.753,12322.0
824,2019-10-05 22:40:28,32.006,12322.0
1000000,2019-10-05 22:41:30,35.716,1103.0
10134,2019-10-05 22:41:40,28.468,13037.0
10134,2019-10-05 22:41:40,68.224,13037.0
10134,2019-10-05 22:41:40,1.315,13037.0
10482,2019-10-05 22:41:32,95.52,6079.0
10603,2019-10-05 22:41:25,244.555,29314.0
10916,2019-10-05 22:41:30,164.457,12389.0
11289,2019-10-05 22:41:06,63.7,44869.0
12877,2019-10-05 22:41:57,331.526,28681.0
14281,2019-10-05 22:41:31,46.124,5089.0
14281,2019-10-05 22:41:31,23.073,5089.0
1472,2019-10-05 22:41:46,41.715,198930.0
14777,2019-10-05 22:41:47,296.214,7922.0
15072,2019-10-05 22:41:35,445.001,5645.0
16665,2019-10-05 22:41:12,68.284,3320.0
16665,2019-10-05 22:41:12,0.9,3320.0
16751,2019-10-05 22:41:59,60.708,6830.0
16751,2019-10-05 22:41:59,29.793,6830.0
16839,2019-10-05 22:41:15,92.965,12414.0
17007,2019-10-05 22:41:00,1574.45,56055.0
17540,2019-10-05 22:41:46,21.295,20880.0
17540,2019-10-05 22:41:46,42.986,20880.0
18578,2019-10-05 22:41:10,445.276,30298.0
18578,2019-10-05 22:41:10,5.912,30298.0
19396,2019-10-05 22:41:45,53.193,41275.0
19907,2019-10-05 22:41:04,353.596,20115.0
20072,2019-10-05 22:41:24,49.831,3269.0
20795,2019-10-05 22:41:57,30.527,34622.0
20795,2019-10-05 22:41:57,30.905,34622.0
20795,2019-10-05 22:41:57,0.733,34622.0
21003,2019-10-05 22:41:45,170.392,209.0
21003,2019-10-05 22:41:45,176.424,209.0
