ASN,Users (est.),CC
6364,190126,US
9009,190021,PL
41750,190000,KG
12357,189754,ES
10226,189655,LA
139994,189471,ID
24812,189469,UA
37541,189148,MR
37463,189049,CG
263210,188815,CO
8047,188232,US
136442,188005,MM
16223,187680,UA
30619,187505,MZ
20473,187374,US
7459,187124,US
1257,186947,HR
45582,186472,IN
17897,185620,CN
15600,185600,CH
206262,185375,AL
16276,185122,US
43925,185091,MD
31257,184284,RU
41911,184065,UA
55960,184005,CN
714,183632,CN
54994,183508,US
52613,183446,BR
26464,183388,NL
263783,183337,SV
12876,183310,PL
263725,183041,HN
55427,182806,NP
199524,182796,BR
31404,182777,IT
396356,182638,US
208286,182144,DE
50257,181788,RU
28114,181619,AR
37550,181407,CG
138322,181164,AF
57704,181142,PS
25310,181067,GB
328169,181040,SZ
199524,179403,US
58965,179351,IN
57044,178574,RU
133311,178346,IN
131627,178242,TW
23956,178152,BD
786,178112,GB
8462,177475,HU
53850,177420,CN
206611,177251,IQ
20928,176722,EG
31404,176688,FR
59108,176526,JP
15617,176228,GR
5639,176202,TT
262481,175837,BR
45355,175810,FJ
59362,175803,BD
51346,175728,TJ
21412,175649,LT
138482,175322,BD
395954,175308,CN
26210,175194,BO
45117,175150,IN
28481,175111,MX
51570,174611,RU
266860,174208,CO
52965,174004,BR
132556,173236,IN
13335,172900,HK
27837,172750,CO
6830,172643,RO
4230,172506,BR
37148,172377,NG
35911,171686,CA
21453,171303,RU
43940,171193,ME
27927,170933,AR
207097,170648,IQ
4922,169902,US
16276,169632,DE
5413,169502,GB
50581,169495,UA
136384,169370,PK
202699,169208,IQ
268976,168602,BR
22689,168543,BR
55424,168209,AF
27696,168165,HN
2116,168114,NO
41843,167902,RU
18419,167794,TW
24371,167729,CN
14615,167622,US
34594,167594,HR
37315,167544,ZA
3549,167500,VE
203459,167157,IQ
14813,167075,BB
199524,167020,IT
44604,166873,RU
8697,166765,GB
48146,166712,ES
45766,166427,BD
327782,166378,ZA
9874,166326,SG
201411,166030,TR
53667,165734,US
8100,165530,US
29091,165409,NG
36924,165257,RW
38009,164863,PG
17841,164593,KR
262293,164364,BR
134382,164216,BD
42912,164055,JO
2018,163845,ZA
44558,163841,TR
196949,163284,RU
30764,163267,CZ
132932,162165,IN
25086,161943,RU
35104,161696,KZ
35816,161250,UA
269832,161011,VE
47236,160882,RU
37090,160871,BJ
20880,160862,DE
263980,160461,BR
16276,160380,PL
132976,160307,IN
140647,160274,CN
8560,159845,ES
200865,159834,IQ
37173,159347,GQ
133414,159313,AU
42082,158927,GE
210162,158924,IQ
55805,158816,MN
16814,158656,AR
28015,158633,AR
262459,158588,BR
141342,158559,PK
47165,158541,RU
4662,158539,TW
37371,158102,SO
18053,158080,PK
9471,157884,PF
262664,157859,BR
41329,157711,KZ
15735,157592,MT
37524,157476,GM
137688,157292,CN
18978,157165,JP
55944,156756,MV
44944,156571,BE
13490,156507,US
37006,156345,RW
30844,155534,ZM
45235,155530,IN
12709,155501,MT
35297,155204,UA
24323,155054,BD
3215,155020,RE
34757,154984,RU
12301,154975,HU
53059,154902,BR
45905,154667,BD
139759,154329,FM
1659,153877,TW
38067,153493,BD
3194,152523,IQ
33983,152002,AL
43733,151430,AM
8445,151300,AT
4782,151180,TW
51004,151178,RU
52871,151098,BR
28300,151098,BR
27833,150959,AR
62240,150804,GB
63949,150763,SG
28331,150684,BR
28665,150664,BR
140485,150583,CN
50923,150366,RU
138089,150244,ID
13046,150019,HR
60068,149924,DE
5390,149923,NL
140638,149838,CN
37229,149791,TG
11814,149748,CA
138965,149730,PH
134204,149327,BD
207786,149313,IQ
45903,148994,VN
266802,148895,EC
37053,148800,ZA
42841,148593,SK
206206,148465,SE
212460,148299,IQ
40788,148033,CA
135407,147996,PK
19422,147928,UY
267749,147629,PE
50498,147246,RU
51440,146976,PS
29854,146932,US
17839,146835,KR
262659,146524,BR
55900,146520,JP
43939,146512,PL
38077,146347,TL
210278,146238,IT
9614,146096,JP
50973,145888,AL
16629,145720,CL
25820,145670,US
135247,145522,IN
140486,145489,CN
43598,145249,RU
22646,144993,US
37282,144958,NG
55685,144838,ID
327901,144340,ZA
202940,144297,IL
201776,144001,RU
41682,143907,RU
53065,143528,BR
262983,143469,BR
30922,143314,RU
204152,143241,IQ
62240,143132,DE
